Program;Length;WS;AS I;AS II;Test;Substitution
>-o<+o>ooo;10;[('00', ''), ('11', '0'), ('1', '1')];[('1', '1'), ('1111', '0')];[('00', ''), ('111', '0'), ('000', '')];[('0000', ''), ('11', '0'), ('001', ''), ('01111', '01000'), ('0', '11111')];0
>-[oo-o];8;[('1010', ''), ('100', '')];[('01101', '00'), ('101', '')];[('1101', '00'), ('110', '00'), ('01', '00')];[('01110', '00'), ('1', '11000'), ('111', '00'), ('1110', '00'), ('01111', '00')];0
>-oo<+oo>o;10;[('11', '00'), ('001', '')];[('1', '11'), ('0', '11111')];[('111', '00'), ('00', ''), ('11', '00')];[('11111', '00'), ('00000', ''), ('00001', ''), ('00010', ''), ('00011', '')];0
>-o[oo-];8;[('000', ''), ('1010', '')];[('0101', '000'), ('1', '11100')];[('0', '11100'), ('0110', '000'), ('0111', '000')];[('00101', ''), ('101', ''), ('110', '000'), ('01', '000'), ('00110', '')];0
>-ooo<+o>o;10;[('11', '000'), ('00', '')];[('0110', '00010'), ('0111', '00010')];[('00110', ''), ('11', '000'), ('0', '11111')];[('1', '111'), ('1000', ''), ('1001', ''), ('1010', ''), ('1011', '')];0
>-oooo<+o;9;[('111', '0000')];[('110', '0000'), ('11', '0000')];[('0', '11111'), ('1', '1111'), ('00', '')];[('111', '0000'), ('010', '00001'), ('01', '00001'), ('1110', '0000'), ('011', '00001')];0
>-ooooo;7;[('100', ''), ('0001', '')];[('00101', ''), ('101', '')];[('1', '11111'), ('0101', '00000'), ('01', '00000')];[('00110', ''), ('11', '00000'), ('00111', ''), ('0110', '00000'), ('0111', '00000')];0
+>+oo[o<+];10;[('00', '111'), ('01', '')];[('01', ''), ('1001', '11100')];[('10', '11100'), ('1', '00000'), ('1010', '11100')];[('001', '111'), ('010', ''), ('011', ''), ('00', '111'), ('100', '11100')];0
+[oo+]>+o;9;[('1000', '1'), ('1', '0')];[('1', '0'), ('0', '110')];[('111', ''), ('00111', '111'), ('01000', '11')];[('01001', '11'), ('0111', '11'), ('00', '111'), ('01010', '11'), ('10', '1')];0
+>+[o<+]oo;10;[('001', '1'), ('011', '')];[('10100', '100'), ('0100', '')];[('00', '1'), ('0101', ''), ('0', '0')];[('0110', ''), ('01', ''), ('10', '100'), ('100', '100'), ('1', '000')];0
>+[<-o-o]o;10;[('0010', ''), ('000', '')];[('010', ''), ('10010', '0')];[('011', ''), ('100', '0'), ('0010', '')];[('0011', ''), ('10011', '0'), ('10100', '0'), ('0', ''), ('1', '0')];0
+>+[<+oo]o;10;[('', '1100'), ('0', ''), ('00', '')];[('10100', '0000'), ('0', '')];[('1', '0000'), ('10101', '0000'), ('0100', '')];[('100', '0000'), ('00', ''), ('01', ''), ('10', '0000'), ('0101', '')];0
+>+[+o<+o-o];12;[('011', ''), ('1101', '')];[('10100', ''), ('10101', '')];[('10110', ''), ('00', ''), ('100', '')];[('10111', ''), ('0', '1'), ('0100', ''), ('0101', ''), ('101', '')];0
>+[>-[<]-o];11;[('11001', ''), ('01', '')];[('0011', '11'), ('0100', '')];[('0101', ''), ('1', '1'), ('01', '')];[('10011', '11'), ('10100', '1'), ('10', '1'), ('0', '111'), ('10101', '1')];0
>+[<-oo-]o;10;[('1010', '00'), ('0', '')];[('110', ''), ('1110', '')];[('0', ''), ('1111', ''), ('11110', '')];[('1', '00'), ('11111', ''), ('10', '00'), ('10101', '00'), ('111', '')];0
>+[<-oo]o;9;[('', '1111'), ('0', ''), ('01', '')];[('0', ''), ('1', '0011')];[('00', ''), ('000', ''), ('001', '')];[('1000', '0011'), ('01', ''), ('10', '0011'), ('010', ''), ('1001', '0011')];0
>>>+o>-o;8;[('1', '01'), ('1011', '')];[('010', '01'), ('10', '01')];[('0', '01'), ('10011', ''), ('0010', '11')];[('0011', ''), ('10100', '1'), ('10101', '10'), ('10110', ''), ('0100', '11')];0
>>>-o>+o;8;[('11', '10'), ('1', '10')];[('0011', '00'), ('0100', '')];[('1', '10'), ('011', '10'), ('10011', '0')];[('0', '10'), ('100', '10'), ('10100', ''), ('10101', ''), ('0101', '00')];0
+[<+o];6;[('1111', '')];[('0010', '0'), ('0011', '0')];[('010', '0'), ('011', '0'), ('0100', '0')];[('10', ''), ('0101', '0'), ('11', ''), ('00', '0'), ('0110', '0')];0
+[>+<+]>o;9;[('0101', '')];[('01111', ''), ('111', '1')];[('1111', '1'), ('0101', ''), ('11', '1')];[('101', '0'), ('110', '1'), ('0110', ''), ('10000', '0'), ('10001', '0')];0
+[<-o];6;[('1111', '')];[('0110', '1'), ('10110', '')];[('10111', ''), ('0111', '1'), ('10', '')];[('11000', ''), ('110', ''), ('1000', ''), ('111', ''), ('1001', '')];0
-o[o+];6;[('01000', '')];[('0011', ''), ('11', '001')];[('', '11'), ('011', ''), ('10011', '001')];[('01', ''), ('100', '001'), ('0100', ''), ('101', '001'), ('0101', '')];0
-[o<-o-];8;[('11', '010')];[('01', ''), ('0101', '')];[('101', '010'), ('10101', '010'), ('10', '010')];[('10110', '010'), ('10111', '010'), ('110', '010'), ('111', '010'), ('11000', '010')];0
-[o+o];6;[('00110', '')];[('01', ''), ('001', '')];[('', '1'), ('1001', '011'), ('010', '')];[('01001', ''), ('011', ''), ('10', '011'), ('11', '011'), ('100', '011')];0
-[<-o-oo];9;[('11', '100')];[('', '100'), ('1000', '100')];[('00', ''), ('01', ''), ('11000', '100')];[('1001', '100'), ('10', '100'), ('11', '100'), ('000', ''), ('1010', '100')];0
-[+o<+o];8;[('', ''), ('00001', '')];[('010', ''), ('', '')];[('011', ''), ('1010', '101'), ('10', '101')];[('100', '101'), ('1011', '101'), ('01010', ''), ('11', '101'), ('1100', '101')];0
-[>-o<+o];9;[('010', ''), ('10', '')];[('10', ''), ('0110', '')];[('110', '01'), ('111', '01'), ('0111', '')];[('11', '01'), ('', '1'), ('101', ''), ('00', ''), ('1000', '')];0
-[+ooo];7;[('00101', '')];[('10', '111'), ('10110', '111')];[('11', '111'), ('', ''), ('0110', '')];[('00', ''), ('0111', ''), ('110', '111'), ('111', '111'), ('01', '')];0
>+o<oo;6;[('010', ''), ('01', '')];[('0111', ''), ('111', '')];[('11', ''), ('00111', '100'), ('011', '')];[('10', '111'), ('01000', ''), ('01001', ''), ('01010', ''), ('01', '')];0
[<]+o<oo;8;[('0110', '0')];[('0111', '0'), ('11', '0')];[('01', '0'), ('0', '0'), ('1000', '0')];[('111', '0'), ('10', '0'), ('101', '0'), ('1001', '0'), ('00111', '0')];0
[o<+]+o;7;[('111', '10')];[('010', '00'), ('011', '00')];[('1', '10'), ('00010', '00'), ('0010', '00')];[('0011', '00'), ('100', '10'), ('10', '10'), ('0100', '00'), ('0101', '00')];0
[<+oo]+o;8;[('001', '00')];[('0', '00'), ('0110', '00')];[('10', '00'), ('10110', '00'), ('110', '00')];[('0111', '00'), ('111', '00'), ('1000', '00'), ('000', '00'), ('10111', '00')];0
[o+]+o;6;[('111', '10')];[('10', '10'), ('11', '10')];[('110', '10'), ('111', '10'), ('1110', '10')];[('1111', '10'), ('00', '010'), ('01', '010'), ('1001', '10'), ('1', '10')];0
>+o<[o>];8;[('10', '111')];[('0', '000'), ('000', '1010')];[('001', '1011'), ('00', '101'), ('01', '')];[('10', '111'), ('1000', '11100'), ('010', ''), ('01000', ''), ('11', '')];0
[o<-o]+o;8;[('00', '011')];[('1', '111'), ('0000', '011')];[('000', '011'), ('10000', '111'), ('00', '011')];[('01', '011'), ('10001', '111'), ('0001', '011'), ('10010', '111'), ('001', '011')];0
[o-]+o;6;[('10', '100')];[('010', '00'), ('011', '00')];[('0', '00'), ('10', '100'), ('100', '100')];[('00010', '00'), ('101', '100'), ('0010', '00'), ('0011', '00'), ('11', '100')];0
+o-[o+];7;[('10110', '')];[('1', ''), ('0110', '101')];[('10', ''), ('0111', '101'), ('110', '')];[('1000', ''), ('10110', ''), ('10111', ''), ('1001', ''), ('111', '')];0
[+oo>]+o;8;[('1000', ''), ('1', '')];[('1', ''), ('11101', '')];[('01', '11'), ('11110', ''), ('101', '')];[('1101', ''), ('10', ''), ('11111', ''), ('00000', '11111111110'), ('11', '')];0
[oo>]+o;7;[('0', '000')];[('0', '000'), ('11', '11110')];[('01111', '00111111110'), ('10000', '11000000000'), ('10001', '11000000110')];[('00', '00000'), ('10010', '11000011000'), ('10', '11000'), ('111', '1111110'), ('10011', '11000011110')];0
+o-[+oo];8;[('10001', '')];[('1111', ''), ('0110', '111')];[('0111', '111'), ('1', ''), ('01111', '111')];[('10000', ''), ('10001', ''), ('111', ''), ('11', ''), ('10', '')];0
[o<+o]-o;8;[('01', '000')];[('010', '000'), ('011', '000')];[('10', '100'), ('11', '100'), ('00', '000')];[('1', '100'), ('0010', '000'), ('01', '000'), ('0011', '000'), ('00010', '000')];0
-o+[-oo];8;[('10', '000')];[('0011', ''), ('0100', '')];[('11', '000'), ('0101', ''), ('00011', '')];[('011', ''), ('100', '000'), ('0110', ''), ('101', '000'), ('00100', '')];0
[oo>]-o;7;[('1', '111')];[('0101', '001100111'), ('1', '111')];[('101', '1100111'), ('110', '1111001'), ('0110', '001111001')];[('111', '1111111'), ('00101', '00001100111'), ('011', '0011111'), ('00110', '00001111001'), ('01', '00111')];0
[-oo>]-o;8;[('100', '00')];[('0', ''), ('101', '00')];[('1101', '0000'), ('01101', ''), ('110', '0000')];[('01', ''), ('111', '0000001'), ('1110', '000000'), ('1111', '000000001'), ('0111', '')];0
[o<-]-o;7;[('011', '01')];[('010', '01'), ('01010', '01')];[('01011', '01'), ('10', '11'), ('11', '11')];[('1', '11'), ('011', '01'), ('00', '01'), ('1010', '11'), ('100', '11')];0
-o+[o-];7;[('11', '010')];[('0', ''), ('101', '010')];[('1101', '010'), ('11101', '010'), ('110', '010')];[('111', '010'), ('1110', '010'), ('000', ''), ('1111', '010'), ('11110', '010')];0
[o+]-o;6;[('111', '11')];[('01', '011'), ('1', '11')];[('001', '011'), ('10', '11'), ('010', '011')];[('1001', '11'), ('011', '011'), ('1010', '11'), ('100', '11'), ('101', '11')];0
>-o<oo;6;[('11', '011')];[('01', '000'), ('1', '111')];[('0001', ''), ('00001', ''), ('00010', '')];[('001', ''), ('00011', ''), ('10', ''), ('010', '000'), ('0010', '')];0
>+[+o<o];8;[('00011', '')];[('10100', ''), ('0100', '')];[('00', ''), ('0101', ''), ('0110', '')];[('01', ''), ('100', ''), ('101', ''), ('10101', ''), ('1', '11')];0
[o-]-o;6;[('001', '01')];[('010', '01'), ('011', '01')];[('0', '01'), ('0010', '01'), ('10010', '101')];[('0011', '01'), ('0100', '01'), ('0101', '01'), ('10011', '101'), ('100', '101')];0
[<-oo]-o;8;[('011', '11')];[('1', '11'), ('111', '11')];[('11', '11'), ('1111', '11'), ('000', '11')];[('0000', '11'), ('11111', '11'), ('0001', '11'), ('00000', '11'), ('00001', '11')];0
[<]-o<oo;8;[('0111', '1')];[('1011', '1'), ('1100', '1')];[('11', '1'), ('01', '1'), ('1101', '1')];[('10', '1'), ('1', '1'), ('11011', '1'), ('11100', '1'), ('00', '1')];0
[>]<o;5;[('0100', '0')];[('', ''), ('01000', '0')];[('01001', '1'), ('1000', '0'), ('1001', '1')];[('01010', '0'), ('00', '0'), ('1', '1'), ('000', '0'), ('01011', '1')];0
[>+o<-];7;[('11110', '')];[('10', '1'), ('00110', '1')];[('00111', '1'), ('110', ''), ('0110', '')];[('01000', ''), ('01001', ''), ('01010', ''), ('', ''), ('111', '')];0
o-[+o];6;[('', ''), ('0001', '0')];[('', ''), ('00', '0')];[('000', '0'), ('01', '0'), ('0000', '0')];[('10', '11'), ('0001', '0'), ('001', '0'), ('11', '11'), ('010', '0')];0
>-[-o<-];8;[('110', ''), ('1', '0')];[('1111', ''), ('01111', '')];[('10000', ''), ('1', '0'), ('11', '')];[('10', ''), ('01', ''), ('111', ''), ('0011', ''), ('10001', '')];0
-[<+oo]+o;9;[('110', '00')];[('1011', '00'), ('011', '0')];[('100', '00'), ('1100', '00'), ('1101', '00')];[('11', '00'), ('1', '00'), ('01011', '0'), ('01100', '0'), ('101', '00')];0
-[o-]+o;7;[('111', '00')];[('0011', '0'), ('0100', '0')];[('11', '00'), ('00011', '0'), ('01', '0')];[('1', '00'), ('10', '00'), ('00100', '0'), ('00', '0'), ('0101', '0')];0
-[o<+]+o;8;[('0010', '0')];[('1011', '00'), ('11', '00')];[('01011', '0'), ('011', '0'), ('01', '0')];[('1', '00'), ('10', '00'), ('00', '0'), ('100', '00'), ('01100', '0')];0
-[oo>]+o;8;[('0011', '0')];[('00100', '0'), ('100', '0000000')];[('0100', '0'), ('101', '0000110'), ('1', '000')];[('0101', '0'), ('00', '0'), ('0110', '0'), ('01', '0'), ('00101', '0')];0
-[o<-o]+o;9;[('11', '011')];[('0011', '0'), ('1', '011')];[('0100', '0'), ('10011', '011'), ('0101', '0')];[('0110', '0'), ('0111', '0'), ('11', '011'), ('011', '0'), ('1000', '011')];0
-[>]<o;6;[('01101', '')];[('1', '0'), ('1111', '1')];[('0000', ''), ('00', ''), ('10', '0')];[('01111', ''), ('111', '1'), ('0001', ''), ('01', ''), ('10000', '0')];0
>+o[<+]o;8;[('0', '0'), ('111', '')];[('01', ''), ('10', '1')];[('', '0'), ('1001', '1'), ('1010', '1')];[('11001', ''), ('11010', ''), ('001', '1'), ('010', ''), ('011', '')];0
+[o>]+o;7;[('00', '100')];[('', '00'), ('1111', '0')];[('01111', '111110'), ('111', '0'), ('10000', '0')];[('0000', '10000'), ('10001', '0'), ('0001', '10010'), ('10010', '0'), ('10011', '0')];0
+[o<-]+o;8;[('000', '11')];[('0011', '11'), ('0100', '11')];[('011', '11'), ('100', '0'), ('11', '0')];[('101', '0'), ('', '01'), ('10', '0'), ('01', '11'), ('10011', '0')];0
>+o<+oo;7;[('010', ''), ('01', '')];[('01100', ''), ('0', '011')];[('100', '1'), ('1100', ''), ('101', '1')];[('110', ''), ('00', '111'), ('111', ''), ('01', ''), ('01101', '')];0
+[o<+]+o;8;[('', '00'), ('0', '10')];[('1011', '0'), ('1100', '0')];[('1101', '0'), ('0', '10'), ('11011', '0')];[('11', '0'), ('1110', '0'), ('11100', '0'), ('011', '10'), ('10', '0')];0
+[o+]+o;7;[('000', '10')];[('010', '10'), ('10', '0')];[('11', '0'), ('0010', '10'), ('0', '10')];[('00010', '10'), ('00', '10'), ('0011', '10'), ('0100', '10'), ('0101', '10')];0
+[o<-o]+o;9;[('01', '111')];[('010', '111'), ('10', '0')];[('11', '0'), ('00', '111'), ('0010', '111')];[('011', '111'), ('10010', '0'), ('100', '0'), ('01', '111'), ('0', '111')];0
-o-[o+];7;[('00', ''), ('0', ''), ('01', '')];[('010', ''), ('011', '')];[('0', ''), ('10', '0'), ('100', '0')];[('1010', '0'), ('11', '0'), ('00', ''), ('1011', '0'), ('1100', '0')];0
-o-[+oo];8;[('1100', '0')];[('1011', '0'), ('11', '0')];[('01', ''), ('011', ''), ('0', '')];[('01011', ''), ('01100', ''), ('100', '0'), ('101', '0'), ('1100', '0')];0
+[>]<o;6;[('11100', '')];[('101', ''), ('110', '')];[('10', ''), ('10101', ''), ('0', '1')];[('111', ''), ('010', '0'), ('11', ''), ('10110', ''), ('0101', '1')];0
-[o<+]-o;8;[('110', '00')];[('10100', '00'), ('', '10')];[('0100', '1'), ('00', '1'), ('01', '1')];[('10101', '00'), ('10', '00'), ('100', '00'), ('11', '00'), ('10110', '00')];0
-[o>]-o;7;[('0110', '1')];[('010', '1'), ('1010', '00101')];[('1011', '00111'), ('01010', '1'), ('011', '1')];[('1100', '01001'), ('01011', '1'), ('100', '0001'), ('10', '001'), ('1101', '01011')];0
>+[+o<-];8;[('11110', '')];[('0110', ''), ('0111', '')];[('', '1'), ('00110', ''), ('1000', '')];[('110', ''), ('10', ''), ('00111', ''), ('01000', ''), ('1001', '')];0
+o+[-oo];8;[('11100', '')];[('1', ''), ('000', '1')];[('0000', '1'), ('10000', ''), ('00', '1')];[('0001', '1'), ('01', '1'), ('10', ''), ('001', '1'), ('10001', '')];0
>+[<+o+]o;9;[('111', ''), ('', '00')];[('01100', ''), ('1100', '')];[('00', '1'), ('100', ''), ('1101', '')];[('01101', ''), ('01110', ''), ('101', ''), ('1', ''), ('01', '')];0
+o+[o-];7;[('1100', ''), ('1', '')];[('01', '1'), ('001', '1')];[('0001', '1'), ('1', ''), ('0010', '1')];[('010', '1'), ('10', ''), ('0011', '1'), ('0100', '1'), ('011', '1')];0
-[o<+o]-o;9;[('0000', '1')];[('10100', '000'), ('10101', '000')];[('1', '000'), ('0100', '1'), ('100', '000')];[('101', '000'), ('10110', '000'), ('0101', '1'), ('00', '1'), ('110', '000')];0
-[o-]-o;7;[('101', '01')];[('01', '1'), ('1', '01')];[('10', '01'), ('11', '01'), ('001', '1')];[('010', '1'), ('011', '1'), ('100', '01'), ('0001', '1'), ('101', '01')];0
+>-[o<+];8;[('11', '000')];[('01100', '0'), ('100', '')];[('1', '100'), ('1100', '000'), ('1101', '000')];[('101', ''), ('01101', '0'), ('1110', '000'), ('00', ''), ('01', '0')];0
>-o<-oo;7;[('001', ''), ('10', '')];[('11100', '000'), ('1100', '000')];[('00', ''), ('01', '0'), ('1', '100')];[('11101', '000'), ('100', ''), ('11110', '000'), ('11111', '000'), ('10', '')];0
o+[-o];6;[('1001', '1')];[('010', '00'), ('11010', '1')];[('10', '1'), ('011', '00'), ('1010', '1')];[('11011', '1'), ('100', '1'), ('11', '1'), ('101', '1'), ('', '')];0
[>-o<+];7;[('101', ''), ('', ''), ('00', '')];[('10', ''), ('1110', '0')];[('', ''), ('1111', '0'), ('11', '0')];[('11110', '0'), ('1001', ''), ('1010', ''), ('00', ''), ('01', '0')];0
+[o<+o]-o;9;[('1100', '1')];[('0', '100'), ('01111', '100')];[('10000', '1'), ('10001', '1'), ('10010', '1')];[('111', '1'), ('000', '100'), ('10011', '1'), ('10100', '1'), ('10101', '1')];0
+[oo>]-o;8;[('1000', '1')];[('010', '1111001'), ('011', '1111111')];[('100', '1'), ('0', '111'), ('10', '1')];[('1010', '1'), ('1011', '1'), ('1100', '1'), ('1101', '1'), ('1110', '1')];0
+[o<-]-o;8;[('0', '11'), ('', '01')];[('0011', '11'), ('11', '1')];[('011', '11'), ('01', '11'), ('0', '11')];[('100', '1'), ('10', '1'), ('0100', '11'), ('00011', '11'), ('00100', '11')];0
+[o+]-o;7;[('1100', '1')];[('0', '11'), ('101', '1')];[('10101', '1'), ('10110', '1'), ('110', '1')];[('01', '11'), ('10111', '1'), ('11000', '1'), ('11001', '1'), ('10', '1')];0
+[<-oo]-o;9;[('0', '11'), ('', '11')];[('11', '1'), ('10', '1')];[('10111', '1'), ('111', '1'), ('11000', '1')];[('110', '1'), ('0111', '11'), ('11001', '1'), ('0', '11'), ('11010', '1')];0
>+[+o<+];8;[('100', ''), ('00', '')];[('11110', ''), ('110', '')];[('11111', ''), ('111', ''), ('10100', '')];[('100', ''), ('101', ''), ('010', ''), ('011', ''), ('1110', '')];0
[>>]<o;6;[('1000', '0'), ('', '')];[('100', ''), ('1', '')];[('11011', ''), ('1011', '1'), ('', '')];[('0', ''), ('10', '0'), ('11', '1'), ('11100', ''), ('1100', '0')];0
>->-[<-o];9;[('0110', ''), ('0', '0')];[('111', ''), ('10', '101')];[('1110', ''), ('11', ''), ('1111', '')];[('0111', ''), ('00', '1'), ('1000', ''), ('1001', ''), ('011', '')];0
[>]<+o;6;[('0100', '1')];[('0', '1'), ('1000', '1')];[('1001', ''), ('11000', '1'), ('11001', '')];[('000', '1'), ('001', ''), ('00', '1'), ('01', ''), ('11010', '1')];0
>>+ooo;6;[('000', '111')];[('0011', ''), ('00011', '111')];[('11', '000'), ('00100', ''), ('1', '000')];[('0', '000'), ('00101', ''), ('0100', '111'), ('100', '111'), ('00', '000')];0
>>+oo<-o;8;[('1001', '11')];[('11', '000'), ('010', '110')];[('01111', ''), ('1', '001'), ('011', '')];[('01', '000'), ('10', '00'), ('1111', ''), ('100', '11'), ('00', '00')];0
>>+o<-oo;8;[('00000', '1')];[('01', '000'), ('010', '100')];[('1001', '1'), ('011', ''), ('10', '0')];[('100', '1'), ('11', '000'), ('1010', ''), ('1', '011'), ('101', '')];0
>-o>+o<o;8;[('00', ''), ('1', '101')];[('01100', '0'), ('01101', '0')];[('01110', '0'), ('101', ''), ('01111', '0')];[('0', '101'), ('110', '010'), ('10000', ''), ('00', ''), ('01', '000')];0
[>]<-o;6;[('0001', '0')];[('10', ''), ('00101', '0')];[('11', '0'), ('1', '0'), ('101', '0')];[('00110', ''), ('0101', '0'), ('0110', ''), ('0111', '0'), ('00111', '0')];0
>+oo>-o;7;[('0001', '11')];[('10', '111'), ('0', '001')];[('11110', ''), ('1', '001'), ('1110', '')];[('11111', ''), ('11', ''), ('1111', ''), ('10001', '11'), ('0001', '11')];0
>+o>-o<o;8;[('0111', ''), ('01', '')];[('1', '010'), ('00101', '101')];[('01', ''), ('0', '010'), ('00110', '101')];[('110', ''), ('00111', '101'), ('111', ''), ('10', '111'), ('000', '1')];0
>+o>-oo;7;[('100', '1'), ('11', '')];[('0111', ''), ('10111', '100')];[('1', '011'), ('0', '011'), ('11000', '')];[('11001', ''), ('1000', '1'), ('11', ''), ('00', '111'), ('10', '111')];0
>-o>+oo;7;[('010', '011')];[('1101', '011'), ('110', '011')];[('01', '000'), ('1', '100'), ('1110', '0')];[('1111', '0'), ('111', '0'), ('0', '100'), ('011', '0'), ('11101', '0')];0
>-oo>+o;7;[('0001', ''), ('00', '')];[('10111', ''), ('1', '110')];[('11', '000'), ('00', ''), ('0', '110')];[('0111', '00'), ('1000', ''), ('11000', '001'), ('11001', '001'), ('100', '')];0
>>-o<+oo;8;[('000', ''), ('100', '')];[('01', '1'), ('10', '111')];[('11', '1'), ('1', '100'), ('001', '011')];[('1001', ''), ('010', ''), ('011', '0'), ('0', '100'), ('100', '')];0
>>-oo<+o;8;[('000', ''), ('100', '')];[('1', '110'), ('01', '11')];[('1101', ''), ('0', '110'), ('10', '111')];[('101', '001'), ('11', '11'), ('1110', '00'), ('1111', '00'), ('11101', '00')];0
>>-ooo;6;[('111', '000')];[('10', '111'), ('0', '111')];[('11', '111'), ('1', '111'), ('0110', '000')];[('0111', '000'), ('1000', ''), ('1001', ''), ('1010', '000'), ('1011', '000')];0
>+>+[<+o];9;[('00', ''), ('0000', '')];[('110', '0'), ('10', '')];[('11', '0'), ('1110', ''), ('00', '')];[('010', '010'), ('01', '010'), ('0', '110'), ('011', ''), ('100', '')];0
>>>o;4;[('001', ''), ('101', '')];[('0100', '0'), ('', '')];[('0101', '1'), ('100', ''), ('10100', '0')];[('101', ''), ('10101', '0'), ('1', ''), ('00', ''), ('01', '')];0
>>oo;4;[('', ''), ('0001', '00')];[('100', '00'), ('11', '')];[('1', ''), ('', ''), ('10', '')];[('11011', '00'), ('01', ''), ('101', '11'), ('110', '00'), ('00', '')];0
>>o<o;5;[('', ''), ('01', ''), ('11', ''), ('00', '')];[('1', ''), ('', '')];[('01', ''), ('01001', '01'), ('001', '10')];[('011', '11'), ('10', ''), ('100', '00'), ('11', ''), ('00', '')];0
>[>-o+];7;[('01', '1'), ('010', '')];[('1100', ''), ('1', '')];[('01100', '0'), ('00', '1'), ('01101', '0')];[('101', '01'), ('01', '1'), ('110', ''), ('111', '01'), ('000', '')];0
>[<ooo];7;[('', ''), ('110', '111')];[('11101', '111'), ('1', '')];[('11110', '111'), ('1101', '111'), ('11111', '111')];[('', ''), ('101', '111'), ('10', '111'), ('110', '111'), ('111', '111')];0
>oo<+o;6;[('101', '00'), ('0', '')];[('11', '11'), ('010', '111')];[('10010', '00'), ('10011', '00'), ('01', '111')];[('011', '111'), ('0', ''), ('100', '00'), ('101', '00'), ('110', '11')];0
>[>+o<-o];9;[('1100', '10')];[('', ''), ('1', '')];[('00', '0'), ('10', '0'), ('11', '001')];[('00000', '1'), ('0000', '1'), ('000', '1'), ('0001', '1'), ('001', '')];0
>[o<+];6;[('', ''), ('11110', '1')];[('1', ''), ('0001', '010')];[('10', '0'), ('', ''), ('00001', '010')];[('00010', '010'), ('11', '1'), ('01', '110'), ('0010', '010'), ('00011', '010')];0
+[-o>o];7;[('0010', '00')];[('00101', '00'), ('101', '')];[('0', '0'), ('00110', '00'), ('00111', '00')];[('0101', '0100'), ('01000', '0100'), ('10', ''), ('110', ''), ('01001', '0100')];0
>o<+oo;6;[('', ''), ('01', '111'), ('0', '')];[('11', '1'), ('0110', '111')];[('110', '1'), ('111', '1'), ('10110', '0')];[('01', '111'), ('010', '111'), ('10', '0'), ('011', '111'), ('0', '')];0
+>[<-o]o;8;[('0001', '01')];[('11', '11'), ('00', '01')];[('10', '11'), ('010', '01'), ('', '')];[('0010', '01'), ('00010', '01'), ('011', '01'), ('0011', '01'), ('0100', '01')];0
>[o<o];6;[('111', '111')];[('11', '111'), ('00', '000')];[('1', ''), ('010', '100'), ('011', '100')];[('01', '100'), ('', ''), ('01010', '100'), ('1010', '011'), ('01011', '100')];0
+>[o<-];7;[('', ''), ('010', '101')];[('011', '101'), ('11', '111')];[('1011', '011'), ('100', '011'), ('11011', '111')];[('', ''), ('11100', '111'), ('1', ''), ('11101', '111'), ('11110', '111')];0
>o[o<];6;[('', ''), ('010', '110')];[('1', ''), ('0110', '110')];[('11', '111'), ('00', '000'), ('01', '110')];[('0111', '110'), ('1000', '001'), ('', ''), ('10110', '001'), ('10111', '001')];0
+[-oo<-];8;[('111', ''), ('', ''), ('101', '')];[('010', '0000'), ('10', '')];[('11', ''), ('011', '0000'), ('1010', '')];[('', ''), ('11010', ''), ('1011', ''), ('100', ''), ('1100', '')];0
+[>+o<-oo];10;[('010', ''), ('101', '')];[('1011', ''), ('01011', '')];[('11', ''), ('10', ''), ('01', '')];[('00', '100'), ('01100', ''), ('01101', ''), ('01110', ''), ('011', '')];0
+[-o<+o+o];10;[('', ''), ('1101', ''), ('11', '')];[('01', '0010'), ('10', '')];[('0001', '0010'), ('10001', ''), ('', '')];[('001', '0010'), ('11', ''), ('0010', '0010'), ('0011', '0010'), ('010', '0010')];0
+[>+oo<-];9;[('11', ''), ('1100', '')];[('101', ''), ('1101', '')];[('01101', ''), ('1110', ''), ('01110', '')];[('01111', ''), ('01', ''), ('10', ''), ('110', ''), ('1111', '')];0
+[-o<-o]o;9;[('1111', ''), ('', ''), ('10', '')];[('', ''), ('11111', '')];[('10111', ''), ('111', ''), ('11000', '')];[('11', ''), ('1111', ''), ('11001', ''), ('11010', ''), ('00', '010')];0
+[-o+o<-];9;[('', ''), ('110', ''), ('100', '')];[('1110', ''), ('1111', '')];[('0011', '0101'), ('110', ''), ('10', '')];[('', ''), ('0100', '0101'), ('0101', '0101'), ('0110', '0101'), ('111', '')];0
+[>+o<o-];9;[('1010', ''), ('11', '')];[('1011', ''), ('', '00')];[('01011', ''), ('011', ''), ('11', '')];[('01100', ''), ('01101', ''), ('01110', ''), ('1100', ''), ('01111', '')];0
+[>+[o<]>];10;[('111', ''), ('101', '')];[('010', '0010'), ('10', '')];[('011', '0111'), ('1010', ''), ('100', '')];[('11010', ''), ('11011', ''), ('', '0010'), ('1011', ''), ('11', '')];0
+[o-oo];7;[('1011', ''), ('11', '')];[('00101', '1000'), ('0101', '1000')];[('0110', '1000'), ('101', ''), ('0111', '1000')];[('', '0'), ('00110', '1000'), ('00111', '1000'), ('01000', '1000'), ('110', '')];0
+[o>+o<-];9;[('1110', ''), ('', '00')];[('', '00'), ('000', '110')];[('00', '110'), ('10000', ''), ('10001', '')];[('01', '1'), ('10', ''), ('11', ''), ('10010', ''), ('001', '110')];0
