Program	Witness Set
[>o]<+o	(('', '0'), ('111', '11'))
<+o>oo	(('', '0'), ('00', '000'))
>>+o<oo	(('', '0'), ('10', '000'))
<-[-o>]	(('', '0'), ('11', '000'))
>>+[o<]	(('', '0'), ('10', '001'))
<+o>[o<]	(('', '0'), ('11', '010'))
[o+]>+o	(('', '0'), ('00', '011'))
>+o-oo	(('', '0'), ('10', '100'))
+o>[o<]	(('', '0'), ('00', '101'))
+o-o>o	(('', '0'), ('01', '101'))
>+o-o<o	(('', '0'), ('10', '101'))
[+o>]+o	(('', '0'), ('00', '110'))
+o>o<-o	(('', '0'), ('01', '110'))
[oo<]+o	(('', '0'), ('10', '110'))
+o>[<oo]	(('', '0'), ('00', '111'))
[o>o]<+o	(('', '0'), ('11', '111'))
>+o<ooo	(('', '0'), ('0', '0000'))
[<]+o<ooo	(('', '0'), ('1', '0000'))
[o<+o]+o	(('', '0'), ('0', '0001'))
[<+ooo]+o	(('', '0'), ('1', '0001'))
[o<+]+o>o	(('', '0'), ('0', '0010'))
[<+oo]+o-o	(('', '0'), ('1', '0010'))
[oo<-]+o	(('', '0'), ('0', '0011'))
[<+oo]+o>o	(('', '0'), ('1', '0011'))
[o[<]-]+o	(('', '0'), ('0', '0100'))
>+o<[o>o]	(('', '0'), ('1', '0100'))
[o<-o-]+o	(('', '0'), ('0', '0101'))
[-o<-o]+o	(('', '0'), ('1', '0101'))
[o+<-o]+o	(('', '0'), ('0', '0110'))
>+o<o[o>]	(('', '0'), ('1', '0110'))
[o<-oo]+o	(('', '0'), ('0', '0111'))
[o<]+o<oo	(('', '0'), ('1', '1000'))
+o-o[o+]	(('', '0'), ('0', '1001'))
+o-[o<-o-]	(('', '0'), ('0', '1010'))
[o<+]+o-o	(('', '0'), ('1', '1010'))
+o-[o+o]	(('', '0'), ('0', '1011'))
[o>]+o<oo	(('', '0'), ('1', '1011'))
[+oo<]+o<o	(('', '0'), ('0', '1100'))
[oo<+]>+o	(('', '0'), ('1', '1100'))
+o-[+o<+o]	(('', '0'), ('0', '1101'))
[+ooo>]+o	(('', '0'), ('0', '1110'))
[ooo>]+o	(('', '0'), ('1', '1110'))
+o-[+ooo]	(('', '0'), ('0', '1111'))
[>o]<-o	(('', '1'), ('000', '00'))
>-o>o	(('', '1'), ('010', '00'))
>>-o+o	(('', '1'), ('001', '01'))
<-o>>o	(('', '1'), ('100', '10'))
>>>-o<o	(('', '1'), ('110', '10'))
[o>o]<-o	(('', '1'), ('00', '000'))
-o>[<oo]	(('', '1'), ('11', '000'))
[oo<]-o	(('', '1'), ('01', '001'))
-o>o<+o	(('', '1'), ('10', '001'))
[-o>]-o	(('', '1'), ('11', '001'))
>-o+o<o	(('', '1'), ('01', '010'))
-o+o>o	(('', '1'), ('10', '010'))
-o>[o<]	(('', '1'), ('11', '010'))
>-o+oo	(('', '1'), ('01', '011'))
<-o>oo	(('', '1'), ('00', '100'))
>>-o<oo	(('', '1'), ('10', '100'))
[o-]>-o	(('', '1'), ('11', '100'))
<-o>[o<]	(('', '1'), ('00', '101'))
>>-[o<]	(('', '1'), ('01', '110'))
<+[+o>]	(('', '1'), ('00', '111'))
[oo<+]-o	(('', '1'), ('0', '0000'))
-o+[-ooo]	(('', '1'), ('1', '0000'))
[ooo>]-o	(('', '1'), ('0', '0001'))
[-ooo>]-o	(('', '1'), ('1', '0001'))
[o<+o+]-o	(('', '1'), ('0', '0010'))
-o+[-o<-o]	(('', '1'), ('1', '0010'))
[oo<-]>-o	(('', '1'), ('0', '0011'))
[-oo<]-o<o	(('', '1'), ('1', '0011'))
[o>]-o<oo	(('', '1'), ('0', '0100'))
-o+[o-o]	(('', '1'), ('1', '0100'))
[o<-]-o+o	(('', '1'), ('0', '0101'))
+>+[<+o+o]	(('', '1'), ('1', '0101'))
[o<-o]-o	(('', '1'), ('0', '0110'))
-o+o[o-]	(('', '1'), ('1', '0110'))
[o<]-o<oo	(('', '1'), ('0', '0111'))
>-o<ooo	(('', '1'), ('0', '1000'))
[o<+oo]-o	(('', '1'), ('1', '1000'))
>+[+o<oo]	(('', '1'), ('0', '1001'))
[o-<+o]-o	(('', '1'), ('1', '1001'))
[+o<+o]-o	(('', '1'), ('0', '1010'))
>-o<[o>o]	(('', '1'), ('0', '1011'))
[o[<]+]-o	(('', '1'), ('1', '1011'))
[<-oo]-o>o	(('', '1'), ('0', '1100'))
[<-oo]-o+o	(('', '1'), ('0', '1101'))
[o<-]-o>o	(('', '1'), ('1', '1101'))
[<-ooo]-o	(('', '1'), ('0', '1110'))
[<]-o<ooo	(('', '1'), ('0', '1111'))
>>[+o]	(('00', ''), ('000', '1'))
-oo>-o	(('00', ''), ('1', '001'))
-o>-o<o	(('00', ''), ('1', '010'))
o>[+o]	(('0', '0'), ('00', '01'))
>[o<]<o	(('0', '0'), ('10', '01'))
>[o>]+o	(('0', '0'), ('01', '10'))
>+o-[+o]	(('0', '0'), ('00', '11'))
>[o>]<o	(('0', '0'), ('01', '11'))
o>[<o]	(('0', '0'), ('10', '11'))
>-[-o<-]o	(('', '0000'), ('0', '0'))
-[<+oo]+o-o	(('', '0010'), ('0', '0'))
-[<+oo]+o>o	(('', '0011'), ('0', '0'))
+>+[o+<+]o	(('', '0101'), ('0', '0'))
-[o<]+o<oo	(('', '1000'), ('0', '0'))
-[o<+o]+o	(('', '1001'), ('0', '0'))
-[o<+]+o-o	(('', '1010'), ('0', '0'))
-[o>]+o<oo	(('', '1011'), ('0', '0'))
-[oo<+]>+o	(('', '1100'), ('0', '0'))
-[o<-o-]+o	(('', '1101'), ('0', '0'))
-[ooo>]+o	(('', '1110'), ('0', '0'))
-[oo<-]+o	(('', '1111'), ('0', '0'))
>>-[-o<]	(('01', '00'), ('1', '0'))
[-o>]	(('1', '0'), ('11', '00'))
-o>[+o]	(('1', '0'), ('10', '01'))
+[o>]<+o	(('01', '11'), ('1', '0'))
>+o-[<o]	(('1', '0'), ('10', '11'))
>[o<]>+o	(('1', '0'), ('11', '11'))
>+o<+ooo	(('', '0000'), ('1', '0'))
>+[o+<+]o	(('', '0001'), ('1', '0'))
+[o<+]+o>o	(('', '0010'), ('1', '0'))
+[oo<-]+o	(('', '0011'), ('1', '0'))
+[o[<]-]+o	(('', '0100'), ('1', '0'))
+[o<-o-]+o	(('', '0101'), ('1', '0'))
+[o+<-o]+o	(('', '0110'), ('1', '0'))
+[o<-oo]+o	(('', '0111'), ('1', '0'))
-o-o[o+]	(('', '1001'), ('1', '0'))
-o-[o+o]	(('', '1011'), ('1', '0'))
>+[<-o-]oo	(('', '1100'), ('1', '0'))
-o-[+o<+o]	(('', '1101'), ('1', '0'))
+[+ooo>]+o	(('', '1110'), ('1', '0'))
-o-[+ooo]	(('', '1111'), ('1', '0'))
>[o<]>-o	(('0', '1'), ('00', '00'))
>-o+[<o]	(('0', '1'), ('01', '00'))
+>[o>]<o	(('0', '1'), ('10', '00'))
>[o>]-o	(('0', '1'), ('00', '01'))
+o>[-o]	(('0', '1'), ('01', '10'))
[+o>]	(('0', '1'), ('00', '11'))
>>+[+o<]	(('0', '1'), ('10', '11'))
+o+[-ooo]	(('', '0000'), ('0', '1'))
+[o+[<+o]]	(('', '0001'), ('0', '1'))
+o+[-o<-o]	(('', '0010'), ('0', '1'))
>+[<+o+]oo	(('', '0011'), ('0', '1'))
+o+[o-o]	(('', '0100'), ('0', '1'))
+o+o[o-]	(('', '0110'), ('0', '1'))
-[o<+oo]-o	(('', '1000'), ('0', '1'))
-[o-<+o]-o	(('', '1001'), ('0', '1'))
-[o<+o+]-o	(('', '1010'), ('0', '1'))
-[o[<]+]-o	(('', '1011'), ('0', '1'))
+>-[o<+]o	(('', '1100'), ('0', '1'))
+>-[o+<+]o	(('', '1101'), ('0', '1'))
>-[o-<-]o	(('', '1110'), ('0', '1'))
>-o<-ooo	(('', '1111'), ('0', '1'))
>-o+[-o]	(('1', '1'), ('11', '00'))
o>[-o]	(('1', '1'), ('11', '10'))
+[oo<+]-o	(('', '0000'), ('1', '1'))
+[ooo>]-o	(('', '0001'), ('1', '1'))
+[o<+o+]-o	(('', '0010'), ('1', '1'))
+[oo<-]>-o	(('', '0011'), ('1', '1'))
+[o>]-o<oo	(('', '0100'), ('1', '1'))
+[o<-]-o+o	(('', '0101'), ('1', '1'))
+[o<-o]-o	(('', '0110'), ('1', '1'))
+[o<]-o<oo	(('', '0111'), ('1', '1'))
+[+o<+o]-o	(('', '1010'), ('1', '1'))
+[<-oo]-o>o	(('', '1100'), ('1', '1'))
+[<-oo]-o+o	(('', '1101'), ('1', '1'))
>+[+o<+]o	(('', '1111'), ('1', '1'))
>>>+o<+o	(('', '00'), ('001', '0'))
<+o>>+o	(('', '00'), ('010', '0'))
>+oo<o	(('', '00'), ('0', '000'))
[<]+oo<o	(('', '00'), ('1', '000'))
>+oo<[+o]	(('', '00'), ('0', '001'))
>+o<+o-o	(('', '00'), ('0', '010'))
>+[o<]+o	(('', '00'), ('1', '010'))
[<+o]+oo	(('', '00'), ('0', '011'))
>+[o<]>o	(('', '00'), ('1', '011'))
+[o-]+o	(('', '00'), ('0', '100'))
[o>]+oo	(('', '00'), ('1', '100'))
+o[>+o<-]	(('', '00'), ('0', '101'))
[o<]+o<>o	(('', '00'), ('1', '101'))
[<+]+oo-o	(('', '00'), ('1', '110'))
+oo-[+o]	(('', '00'), ('0', '111'))
[<+]+oo>o	(('', '00'), ('1', '111'))
<+o>>-o	(('', '01'), ('100', '0'))
>>+o+o	(('', '01'), ('110', '1'))
>+[o<]-<>o	(('', '01'), ('0', '000'))
+>>+[<+o+]	(('', '01'), ('1', '000'))
>+[o<]-o	(('', '01'), ('0', '001'))
>+o<-o+o	(('', '01'), ('1', '001'))
>+o+o<o	(('', '01'), ('0', '010'))
>+o+o<[-o]	(('', '01'), ('1', '010'))
>+o[+o<]	(('', '01'), ('0', '011'))
>-[<+o-]>o	(('', '01'), ('0', '100'))
[o>]+o<-o	(('', '01'), ('1', '100'))
+[o-]-o	(('', '01'), ('0', '101'))
[o>]+o+o	(('', '01'), ('1', '101'))
+o>-o<-o	(('', '01'), ('0', '110'))
[oo<]+o<-o	(('', '01'), ('1', '110'))
+o>+[+o<-]	(('', '01'), ('0', '111'))
[o-<-]+o+o	(('', '01'), ('1', '111'))
>>-o-o	(('', '10'), ('001', '0'))
<-o>>+o	(('', '10'), ('010', '1'))
[o+<+]-o-o	(('', '10'), ('0', '000'))
-o>+o[<+]o	(('', '10'), ('1', '000'))
[oo<]-o<+o	(('', '10'), ('0', '001'))
-o>+o<+o	(('', '10'), ('1', '001'))
[o>]-o-o	(('', '10'), ('0', '010'))
-[o+]+o	(('', '10'), ('1', '010'))
[o>]-o<+o	(('', '10'), ('0', '011'))
>+[<-o+]>o	(('', '10'), ('1', '011'))
>-o-o<o	(('', '10'), ('0', '100'))
>-o[-o<]	(('', '10'), ('1', '100'))
>-o-o<[+o]	(('', '10'), ('0', '101'))
>-o<+o-o	(('', '10'), ('0', '110'))
>-[o<]+o	(('', '10'), ('1', '110'))
+>+[+o<o-]	(('', '10'), ('0', '111'))
>-[o<]+<>o	(('', '10'), ('1', '111'))
<-o>>-o	(('', '11'), ('100', '1'))
>>>-o<-o	(('', '11'), ('110', '1'))
[<+o+]-oo	(('', '11'), ('0', '000'))
-oo+[-o]	(('', '11'), ('1', '000'))
[<-]-oo+o	(('', '11'), ('0', '001'))
[o<]-o<>o	(('', '11'), ('0', '010'))
-o[>-o<+]	(('', '11'), ('1', '010'))
[o>]-oo	(('', '11'), ('0', '011'))
-[o+]-o	(('', '11'), ('1', '011'))
>-[o<]>o	(('', '11'), ('0', '100'))
[<-o]-oo	(('', '11'), ('1', '100'))
>-[o<]-o	(('', '11'), ('0', '101'))
>-o<-o+o	(('', '11'), ('1', '101'))
>-oo<o	(('', '11'), ('0', '110'))
>-oo<[-o]	(('', '11'), ('1', '110'))
[<]-oo<o	(('', '11'), ('0', '111'))
>>-[<o]	(('00', '00'), ('000', ''))
+>>-[<o]	(('00', '01'), ('000', ''))
>>-[o-]	(('00', '10'), ('000', ''))
>>-[<+o+]o	(('', '0001'), ('000', ''))
>->-[<-o]o	(('', '0111'), ('000', ''))
>->-[o<-]	(('', '1011'), ('000', ''))
->>-[o<-]	(('', '1101'), ('000', ''))
>>+[o+]	(('00', '01'), ('001', ''))
>+>+[<o]	(('00', '10'), ('001', ''))
[>]<+oo	(('00', '11'), ('001', ''))
>>+oooo	(('', '0000'), ('001', ''))
>>+ooo<-o	(('', '0001'), ('001', ''))
+>>+[o<+]	(('', '0010'), ('001', ''))
>>+[oo+]	(('', '0011'), ('001', ''))
>+>+[o<+]	(('', '0100'), ('001', ''))
>-o>+oo<o	(('', '1001'), ('001', ''))
>-o>+o<oo	(('', '1011'), ('001', ''))
>-oo>+o<o	(('', '1101'), ('001', ''))
[>]<-oo	(('01', '00'), ('010', ''))
>>-[<-o<]	(('01', '01'), ('010', ''))
>+ooo>-o	(('', '0001'), ('010', ''))
>+oo>-o<o	(('', '0010'), ('010', ''))
>+o>-o<oo	(('', '0100'), ('010', ''))
>+o>-oo<o	(('', '0110'), ('010', ''))
>+o>-ooo	(('', '0111'), ('010', ''))
>>+[<o]	(('01', '10'), ('011', ''))
[>>]<oo	(('01', '11'), ('011', ''))
>>+[<+o<]	(('10', '10'), ('101', ''))
>-o>+ooo	(('', '1000'), ('101', ''))
>-ooo>+o	(('', '1110'), ('101', ''))
>->-[<o]	(('11', '01'), ('110', ''))
>>-[oo-]	(('', '1100'), ('110', ''))
>>-ooo<+o	(('', '1110'), ('110', ''))
>>-oooo	(('', '1111'), ('110', ''))
->>+[<o]	(('11', '10'), ('111', ''))
>+>+[<+o]o	(('', '1000'), ('111', ''))
>>+[<-o-]o	(('', '1110'), ('111', ''))
>>-[-o]	(('00', '0'), ('0000', ''))
>>+[+o]	(('01', '1'), ('0111', ''))
>>>+ooo	(('', '000'), ('0001', ''))
>>>+oo<-o	(('', '001'), ('0001', ''))
>>+oo>-o	(('', '001'), ('0010', ''))
>>>+o<-oo	(('', '011'), ('0001', ''))
>>+o>-oo	(('', '011'), ('0010', ''))
>>-o>+oo	(('', '100'), ('1101', ''))
>>>-o<+oo	(('', '100'), ('1110', ''))
>>-oo>+o	(('', '110'), ('1101', ''))
>>>-oo<+o	(('', '110'), ('1110', ''))
>>>-ooo	(('', '111'), ('1110', ''))
>>>>o	(('01110', '0'), ('1', ''))
>>>oo	(('0110', '00'), ('1', ''))
>>o>o	(('0001', '01'), ('1', ''))
>>>o<o	(('0110', '01'), ('1', ''))
>[>-o>]	(('0111', '01'), ('1', ''))
+[-oo>]	(('01', '0000'), ('1', ''))
>ooo<+o	(('00', '0001'), ('1', ''))
+[-o>-o+]	(('01', '0001'), ('1', ''))
>o[o<+]	(('00', '0010'), ('1', ''))
>[>+o[o<]]	(('01', '0010'), ('1', ''))
>[oo+]	(('00', '0011'), ('1', ''))
+>[<-oo]	(('01', '0011'), ('1', ''))
>[o<+]o	(('00', '0100'), ('1', ''))
>[<o>o-]	(('01', '0100'), ('1', ''))
>[o+o<]	(('00', '0101'), ('1', ''))
+[-o+o>]	(('01', '0101'), ('1', ''))
>o<+oo>o	(('00', '0110'), ('1', ''))
+[-o>oo]	(('01', '0110'), ('1', ''))
>o<+ooo	(('00', '0111'), ('1', ''))
+>[<-o]oo	(('01', '0111'), ('1', ''))
>[o<oo]	(('01', '1000'), ('1', ''))
>[[o<]+]	(('01', '1001'), ('1', ''))
>[+o-o<]	(('00', '1010'), ('1', ''))
+>[o<-]o	(('01', '1011'), ('1', ''))
>[oo<]	(('01', '1100'), ('1', ''))
>[o<+]>o	(('01', '1101'), ('1', ''))
>oo[o<]	(('01', '1110'), ('1', ''))
+[-oo<-]o	(('0', '00000'), ('1', ''))
+[-oo+<-]o	(('0', '00001'), ('1', ''))
+[-o<+oo+o]	(('0', '00010'), ('1', ''))
+[>+oo<-o]	(('0', '00011'), ('1', ''))
+[-oo<-o]	(('0', '00100'), ('1', ''))
>>-[<+]o[o>]	(('0', '00101'), ('1', ''))
+[>+[o<-]]	(('0', '00110'), ('1', ''))
+[-[oo+o]]	(('0', '00111'), ('1', ''))
+[-o<-o]oo	(('0', '01000'), ('1', ''))
+[-o+o<+o+]	(('0', '01001'), ('1', ''))
+[>+o<o-o]	(('0', '01010'), ('1', ''))
+[-o+o<-]o	(('0', '01011'), ('1', ''))
+[-o<-oo]o	(('0', '01100'), ('1', ''))
+[-o+o<-o]	(('0', '01101'), ('1', ''))
+[-o<-ooo]	(('0', '01110'), ('1', ''))
+[<+[o>]-]	(('0', '01111'), ('1', ''))
+[o-ooo]	(('0', '10000'), ('1', ''))
+[o>+o<-o]	(('0', '10001'), ('1', ''))
+[o-o<+o+]	(('0', '10010'), ('1', ''))
+[o[<]+o]	(('0', '10011'), ('1', ''))
+[o-o<-]o	(('0', '10100'), ('1', ''))
+o[-o+o<-]	(('0', '10101'), ('1', ''))
+[o-o<-o]	(('0', '10110'), ('1', ''))
+[o<+o+oo]	(('0', '10111'), ('1', ''))
+[oo-o]	(('0', '11000'), ('1', ''))
+[oo<+]>o	(('0', '11001'), ('1', ''))
+o[o-o<-]	(('0', '11010'), ('1', ''))
+[oo<+o+]	(('0', '11011'), ('1', ''))
+o[oo-]	(('0', '11100'), ('1', ''))
+oo[o<+o+]	(('0', '11101'), ('1', ''))
+ooo[o-]	(('0', '11110'), ('1', ''))
>-[<oo>-]	(('0', '0000'), ('00', ''))
>-[>+o<-oo]	(('0', '0001'), ('00', ''))
>-[>+o[o<]]	(('0', '0010'), ('00', ''))
+>-[<-oo]	(('0', '0011'), ('00', ''))
>-[<o>o-]	(('0', '0100'), ('00', ''))
+>-[-o+o<]	(('0', '0101'), ('00', ''))
>-[>+o<o-]	(('0', '0110'), ('00', ''))
+>-[<-o]oo	(('0', '0111'), ('00', ''))
>-[o<oo]	(('0', '1000'), ('00', ''))
>-[[o<]+]	(('0', '1001'), ('00', ''))
>-[[o<]-]	(('0', '1010'), ('00', ''))
+>-[o<-]o	(('0', '1011'), ('00', ''))
>-[oo<]	(('0', '1100'), ('00', ''))
>-[o<+]>o	(('0', '1101'), ('00', ''))
>-oo[o<]	(('0', '1110'), ('00', ''))
>>[<o]	(('001', '00'), ('01', ''))
>>o<+o	(('000', '01'), ('01', ''))
+>>[<o]	(('001', '01'), ('01', ''))
>>[o-]	(('001', '10'), ('01', ''))
>+[>+o<-o]	(('00', '001'), ('01', ''))
+>+[-o<o]	(('00', '010'), ('01', ''))
>[+[<]>o]	(('00', '011'), ('01', ''))
+>+[o<-]	(('00', '101'), ('01', ''))
>+oo[o+]	(('0', '0001'), ('01', ''))
>+o[o<+]	(('0', '0010'), ('01', ''))
>+[o<+]o	(('0', '0100'), ('01', ''))
>+[o+o<]	(('0', '0101'), ('01', ''))
>+[<>o<+o]	(('0', '0110'), ('01', ''))
>+[o+oo]	(('0', '0111'), ('01', ''))
>+[<+o]oo	(('0', '1000'), ('01', ''))
>+[+o-o<]	(('0', '1010'), ('01', ''))
>+[<+o]>oo	(('0', '1011'), ('01', ''))
>+[<+oo]	(('0', '1100'), ('01', ''))
>+[+[o<+]]	(('0', '1101'), ('01', ''))
>+[+o<+o-]	(('0', '1110'), ('01', ''))
>+[+oo<]	(('0', '1111'), ('01', ''))
>>[o+]	(('000', '01'), ('10', ''))
+o>>o	(('000', '10'), ('10', ''))
+[>ooo]	(('00', '000'), ('10', ''))
+[>o<<+o]	(('00', '001'), ('10', ''))
>-[o<+]	(('01', '010'), ('10', ''))
[+[>]<o]	(('00', '011'), ('10', ''))
+[o>o]	(('00', '100'), ('10', ''))
>[+<+o]o	(('00', '101'), ('10', ''))
>-[-oo<]	(('1', '0000'), ('10', ''))
>-[-o<-o+]	(('1', '0001'), ('10', ''))
>-[-[o<-]]	(('1', '0010'), ('10', ''))
>-[<-oo]	(('1', '0011'), ('10', ''))
>-[<-o]>oo	(('1', '0100'), ('10', ''))
>-[-o+o<]	(('1', '0101'), ('10', ''))
>-[-o<oo]	(('1', '0110'), ('10', ''))
>-[<-o]oo	(('1', '0111'), ('10', ''))
>-[o-oo]	(('1', '1000'), ('10', ''))
>-[<>o<-o]	(('1', '1001'), ('10', ''))
>-[o-o<]	(('1', '1010'), ('10', ''))
>-[o<-]o	(('1', '1011'), ('10', ''))
>-o[o<-]	(('1', '1101'), ('10', ''))
>-oo[o-]	(('1', '1110'), ('10', ''))
>>[-oo]	(('101', '00'), ('11', ''))
>+[-ooo]	(('10', '000'), ('11', ''))
+[<+o>-o]	(('01', '001'), ('11', ''))
[+[<+o]>]	(('10', '001'), ('11', ''))
>+[-o<o]	(('10', '010'), ('11', ''))
+[>-o+o]	(('01', '011'), ('11', ''))
>+[<-o]o	(('10', '011'), ('11', ''))
>+[o-o]	(('10', '100'), ('11', ''))
>+[o<-]	(('10', '101'), ('11', ''))
>+o[o-]	(('10', '110'), ('11', ''))
>+ooo<+o	(('0', '0001'), ('11', ''))
>+oo[o<]	(('1', '0001'), ('11', ''))
>+[o<-]>o	(('1', '0010'), ('11', ''))
>+[oo<]	(('1', '0011'), ('11', ''))
->+[o<+]o	(('1', '0100'), ('11', ''))
>+[[o<]+]	(('1', '0101'), ('11', ''))
>+o<+oo>o	(('0', '0110'), ('11', ''))
>+[[o<]-]	(('1', '0110'), ('11', ''))
>+[o<oo]	(('1', '0111'), ('11', ''))
+o>+ooo	(('0', '1000'), ('11', ''))
->+[<+o]oo	(('1', '1000'), ('11', ''))
+o>+oo<o	(('0', '1001'), ('11', ''))
>+[>-o<o+]	(('1', '1001'), ('11', ''))
+>+[<-o-o]	(('1', '1010'), ('11', ''))
+o>+o<oo	(('0', '1011'), ('11', ''))
>+[<o>o+]	(('1', '1011'), ('11', ''))
->+[<+oo]	(('1', '1100'), ('11', ''))
+oo>+o<o	(('0', '1101'), ('11', ''))
>+[>-o[o<]]	(('1', '1101'), ('11', ''))
+ooo>+o	(('0', '1110'), ('11', ''))
>+[>-o<+oo]	(('1', '1110'), ('11', ''))
>+[<oo>+]	(('1', '1111'), ('11', ''))
>>>>+o	(('0', '0'), ('00001', ''))
>>>>-o	(('0', '1'), ('01110', ''))
-[-<]>o	(('', '0'), ('0', ''), ('00', '0'))
[>]<+<o	(('', '0'), ('0', ''), ('01', '0'))
>-[<]>-o	(('', '0'), ('0', ''), ('00', '1'))
-[>+o>]	(('', '0'), ('0', ''), ('10', '1'))
-[>+o-<+]	(('', '0'), ('0', ''), ('1', '00'))
-[>+o<+]	(('', '0'), ('0', ''), ('1', '01'))
-[+[<+]+o>]	(('', '0'), ('0', ''), ('1', '10'))
-[+<+[>]<o]	(('', '0'), ('0', ''), ('1', '11'))
>[<]<-o	(('', '1'), ('0', ''), ('00', '1'))
-[>-o+<+]	(('', '1'), ('0', ''), ('1', '11'))
>[<]<+o	(('', '0'), ('1', ''), ('11', '0'))
+[+<]>o	(('', '1'), ('1', ''), ('10', '0'))
>+[<]>+o	(('', '1'), ('1', ''), ('11', '0'))
-[>+o-<-]	(('', '00'), ('0', ''), ('1', '0'))
-[-<-[>]<o]	(('', '00'), ('0', ''), ('1', '1'))
-[+[<-o]+o]	(('', '01'), ('0', ''), ('1', '1'))
-[>-o<-]	(('', '10'), ('0', ''), ('1', '1'))
-[>-o+<-]	(('', '11'), ('0', ''), ('1', '1'))
>-[-o<-o<]	(('', '01'), ('0', '0'), ('00', ''))
>-[<]>[o-]	(('', '10'), ('0', '0'), ('00', ''))
>-[<[<-]-o]	(('', '11'), ('0', '0'), ('00', ''))
>-[<+o+]	(('', '00'), ('0', '1'), ('00', ''))
>-[<+o>-]	(('', '01'), ('0', '1'), ('00', ''))
-[o>]>+o	(('', '10'), ('0', '0'), ('01', ''))
-[o<-]>+o	(('', '11'), ('0', '0'), ('01', ''))
>+[<+o+]	(('', '00'), ('0', '1'), ('01', ''))
>+[<+o>+]	(('', '01'), ('0', '1'), ('01', ''))
[->]<-o-<o	(('', '10'), ('0', '1'), ('01', ''))
[+>]<+o+<o	(('', '01'), ('1', '0'), ('10', ''))
>-[<-o>-]	(('', '10'), ('1', '0'), ('10', ''))
>-[<-o-]	(('', '11'), ('1', '0'), ('10', ''))
->-[o<]	(('', '11'), ('0', '1'), ('10', ''))
+[o<+]>-o	(('', '00'), ('1', '1'), ('10', ''))
+[o>]>-o	(('', '01'), ('1', '1'), ('10', ''))
->+[o<]	(('', '01'), ('0', '0'), ('11', ''))
>+[<-]>o>o	(('', '10'), ('0', '0'), ('11', ''))
>+[<-]>o<o	(('', '11'), ('0', '0'), ('11', ''))
+[o<]>+o	(('', '01'), ('1', '0'), ('11', ''))
>+[<-o>+]	(('', '10'), ('1', '0'), ('11', ''))
>+[<-o-]	(('', '11'), ('1', '0'), ('11', ''))
>+[<[<+]+o]	(('', '00'), ('1', '1'), ('11', ''))
>+[<]>[o+]	(('', '01'), ('1', '1'), ('11', ''))
>+[+o<+o<]	(('', '10'), ('1', '1'), ('11', ''))
+>[<o]	(('0', ''), ('00', '1'), ('10', ''))
-[>-[o<]]	(('0', ''), ('1', '10'), ('10', ''))
>-[<-]oo	(('0', ''), ('1', '11'), ('10', ''))
+>-[<+o]o	(('', '100'), ('0', ''), ('10', ''))
>-[-<-o]o	(('', '110'), ('0', ''), ('10', ''))
>[<+]o	(('0', ''), ('01', '0'), ('11', ''))
[>+[<-]o]	(('0', ''), ('1', '10'), ('11', ''))
>+[<-]oo	(('0', ''), ('1', '11'), ('11', ''))
>+[-<-o]o	(('', '110'), ('0', ''), ('11', ''))
>-[<+]oo	(('0', '00'), ('00', ''), ('1', ''))
[>-[<+]o]	(('0', '01'), ('00', ''), ('1', ''))
+>-[<oo]	(('0', '11'), ('00', ''), ('1', ''))
>-[+<+o]o	(('', '001'), ('00', ''), ('1', ''))
>+[<+]oo	(('0', '00'), ('01', ''), ('1', ''))
+[>+[o<]]	(('0', '01'), ('01', ''), ('1', ''))
>+[+<+o]o	(('', '001'), ('01', ''), ('1', ''))
+[>+o<+o]	(('', '011'), ('01', ''), ('1', ''))
-[-o<]>o	(('', '00'), ('00', '0'), ('1', ''))
+[<+o->+]	(('', '00'), ('01', '0'), ('1', ''))
+[<+oo]	(('', '00'), ('0', '00'), ('1', ''))
+[<+o]>o	(('', '00'), ('0', '01'), ('1', ''))
+[o<+]	(('', '00'), ('0', '10'), ('1', ''))
+[<+o>+]	(('', '01'), ('00', '0'), ('1', ''))
+[>[<+]+o<]	(('', '01'), ('0', '00'), ('1', ''))
+[<+o+o]	(('', '01'), ('0', '01'), ('1', ''))
+o[>+<+]>o	(('', '01'), ('0', '10'), ('1', ''))
+[o<-]	(('', '01'), ('0', '11'), ('1', ''))
+[+[o-]]>o	(('', '10'), ('00', '0'), ('1', ''))
+[+[o<]+o<-]	(('', '10'), ('0', '00'), ('1', ''))
+[+[o<+]<+o]	(('', '10'), ('0', '01'), ('1', ''))
+[<-o-o]	(('', '10'), ('0', '10'), ('1', ''))
+[<-o]>o	(('', '10'), ('0', '11'), ('1', ''))
[>]<-<o<o	(('', '11'), ('00', '0'), ('1', ''))
+[<-o+>+]	(('', '11'), ('00', '1'), ('1', ''))
+[>>-o<+]	(('', '11'), ('01', '1'), ('1', ''))
+[>+<+]>oo	(('', '11'), ('0', '00'), ('1', ''))
+[+<+[>]<o]o	(('', '11'), ('0', '01'), ('1', ''))
+[>[<-]-o<]	(('', '11'), ('0', '10'), ('1', ''))
+[<-oo]	(('', '11'), ('0', '11'), ('1', ''))
>-[-o<+]	(('', '0'), ('0', '00'), ('00', ''))
>-[>+o<-<]	(('', '0'), ('0', '01'), ('00', ''))
>-[<+o-]	(('', '0'), ('0', '10'), ('00', ''))
